Time	Fxf	Fyf	Fzf	Ftf	aux	Fx	Fy	Fz	Ft
0.744000	0.323589	0.308998	0.537947	0.699697	-0.001984	0.345159	0.347855	0.770631	0.913242
0.752000	0.342714	0.162125	0.359087	0.522189	-0.002136	0.329900	0.138043	0.198418	0.408974
0.760000	0.351824	0.021774	-0.012387	0.352714	-0.003357	0.356603	0.031230	0.061087	0.363143
0.768000	0.367256	0.074239	0.592038	0.700641	-0.001221	0.368048	0.073192	0.579894	0.690719
0.776000	0.249859	-0.021248	0.487015	0.547782	-0.001221	0.245975	-0.022176	0.473081	0.533667
0.784000	0.018488	-0.122959	0.254188	0.282970	-0.001984	0.024720	-0.121360	0.274713	0.301342
0.792000	-0.029829	-0.039517	0.224588	0.229981	-0.001373	-0.036316	-0.045065	0.198418	0.206687
0.800000	0.010502	-0.094853	0.110099	0.145703	0.003662	0.009461	-0.083213	0.152641	0.174107
0.808000	-0.053455	-0.213859	0.159336	0.271994	-0.001678	-0.032502	-0.228173	0.083976	0.245298
0.816000	-0.130398	-0.169206	-0.099416	0.235622	-0.002594	-0.185092	-0.159508	0.022939	0.245414
0.824000	-0.283276	-0.100483	0.061194	0.306736	-0.001526	-0.181277	-0.098472	-0.106762	0.232285
0.832000	-0.062509	0.343949	0.741220	0.819522	-0.004273	-0.219425	0.328781	0.930851	1.011300
0.840000	0.137214	1.038567	0.781600	1.307038	-0.001373	0.341344	1.057399	0.602782	1.264103
0.848000	0.045668	1.102178	1.108833	1.564094	-0.001984	-0.181277	1.091732	1.258920	1.676192
0.856000	0.283024	0.786532	1.790822	1.976304	-0.002441	0.501564	0.786552	1.663284	1.907025
0.864000	0.395650	0.669866	1.595845	1.775382	-0.002594	0.211643	0.675924	1.716691	1.857066
0.872000	0.636139	0.695805	1.201951	1.527581	0.005646	0.772412	0.687368	1.083441	1.497645
0.880000	0.925389	0.654598	1.181588	1.637374	-0.002747	0.833448	0.660665	1.289438	1.671456
0.888000	0.977930	0.556934	1.253034	1.684226	0.000000	1.043259	0.561481	1.167366	1.663248
0.896000	1.386560	0.692106	1.360247	2.061997	-0.002899	1.325551	0.668294	1.411510	2.048430
0.904000	1.730088	0.748714	1.204515	2.237104	-0.002289	1.802396	0.794181	1.197884	2.305272
0.912000	2.027395	0.663942	1.424460	2.565197	-0.001984	1.939727	0.603443	1.388622	2.460682
0.920000	2.196270	0.586979	1.950715	2.995569	-0.001678	2.290684	0.649220	2.006612	3.113714
0.928000	1.794699	0.225126	1.458737	2.323691	-0.001984	1.710842	0.176191	1.411510	2.224946
0.936000	1.490992	0.045942	0.894532	1.739355	-0.002594	1.550622	0.073192	0.923222	1.806135
0.944000	1.353749	0.078104	1.277261	1.862829	0.004730	1.321736	0.069378	1.258920	1.826658
0.952000	1.161079	0.048744	1.892426	2.220756	-0.002289	1.169146	0.050304	1.907429	2.237793
0.960000	1.109763	0.214776	2.356140	2.613254	-0.001831	1.119554	0.206709	2.342311	2.604333
0.968000	1.232079	0.224851	2.309172	2.626947	-0.002136	1.211109	0.248671	2.319422	2.628372
0.976000	1.277110	0.083121	1.780742	2.192934	-0.001373	1.298848	0.042674	1.785356	2.208240
0.984000	0.907619	-0.039269	1.617567	1.855218	-0.001831	0.898299	0.012156	1.586989	1.823629
0.992000	0.565389	0.039388	1.901865	1.984516	-0.001221	0.554971	-0.010732	1.960835	2.037887
1.000000	0.487484	0.120004	1.921075	1.985591	-0.002441	0.516823	0.145673	1.831133	1.908239
1.008000	0.571340	0.304101	1.261667	1.417995	-0.001984	0.528267	0.340225	1.388622	1.524169
1.016000	0.408120	0.397591	0.490719	0.751961	0.003815	0.451972	0.244856	0.328120	0.609833
1.024000	-0.096011	-0.406604	-0.177863	0.454071	-0.001068	-0.116426	-0.071768	0.007680	0.136985
1.032000	-0.394031	0.540223	0.591686	0.892857	-0.002136	-0.425422	-0.014547	0.419674	0.597764
1.040000	-0.794863	1.560309	4.196553	4.547244	-0.001984	-0.688640	2.297195	4.295466	4.919589
1.048000	0.007182	0.166710	7.402829	7.404709	-0.000305	-0.173648	-0.647796	7.408306	7.438601
1.056000	2.046129	-0.794660	9.635582	9.882437	-0.001984	2.263981	-0.014547	9.552199	9.816839
1.064000	3.219122	-0.725298	13.657265	14.050256	-0.002441	3.015488	-1.376415	13.771318	14.164635
1.072000	4.489668	2.072771	18.505228	19.154554	-0.001221	4.648203	2.529895	18.387173	19.133590
1.080000	6.803653	5.787342	22.136104	23.870277	-0.003357	6.700541	5.520663	22.240075	23.874587
1.088000	9.551464	6.954706	23.273269	26.100641	0.005493	9.592126	7.084713	23.201394	26.086524
1.096000	11.420750	7.190551	22.827219	26.518285	-0.002136	11.438468	7.149564	22.873324	26.554544
1.104000	12.170359	7.128806	21.575378	25.776626	-0.001373	12.121309	7.111416	21.522901	25.704740
1.112000	12.964205	6.487231	18.511417	23.512280	-0.002289	13.010147	6.539203	18.608428	23.628345
1.120000	13.326884	5.504384	15.149813	20.914610	0.003052	13.307698	5.440553	14.992040	20.771511
1.128000	12.288363	4.851470	12.428095	18.138306	-0.001984	12.262455	4.910302	12.634521	18.278676
1.136000	9.897338	4.846442	9.398640	14.483775	-0.002136	9.992676	4.799675	9.163094	14.382376
1.144000	7.985950	4.596389	6.144443	11.075034	-0.001373	7.810636	4.620381	6.393581	11.100983
1.152000	6.567850	3.671307	3.523355	8.308380	-0.003204	6.799726	3.689581	3.280740	8.403126
1.160000	4.178488	2.906037	3.016660	5.916507	0.000916	3.931029	2.831261	3.234963	5.825291
1.168000	1.626091	2.065795	4.167428	4.927387	-0.001678	1.855802	2.194196	3.967397	4.898850
1.176000	0.960182	1.295329	5.498981	5.730499	-0.001373	0.787671	1.137509	5.699296	5.864838
1.184000	2.484457	0.087493	7.654607	8.048179	-0.002289	2.534829	0.221968	7.446454	7.869199
1.192000	1.904828	-3.769145	10.590881	11.401824	0.003815	2.016022	-3.817858	10.795809	11.627118
1.200000	0.320230	-7.332700	13.350742	15.235267	-0.002594	0.093385	-7.384655	13.168587	15.098130
1.208000	2.202247	-8.347746	15.873102	18.069038	-0.001221	2.450904	-8.235345	16.014394	18.173845
1.216000	4.871490	-8.899352	17.002974	19.799772	-0.003052	4.663462	-9.024999	16.907047	19.724268
1.224000	6.671103	-8.625681	15.958239	19.327994	-0.002594	6.818799	-8.513822	16.022024	19.382632
1.232000	7.997449	-7.159992	14.009510	17.649109	-0.001984	7.909819	-7.251138	13.969685	17.615231
1.240000	8.254510	-5.420752	12.070159	15.595199	-0.001984	8.291295	-5.351390	12.085196	15.602400
1.248000	7.702258	-3.967842	10.100145	13.307196	-0.001984	7.707637	-4.016225	10.109153	13.331643
1.256000	6.836510	-3.155934	8.170252	11.110842	-0.001984	6.799725	-3.123573	8.140739	11.057333
1.264000	5.858799	-2.659346	6.176363	8.918806	0.003967	5.910887	-2.677246	6.218102	8.987271
1.272000	4.414219	-1.997728	3.887679	6.212109	-0.000153	4.362097	-1.994405	3.845325	6.147525
1.280000	2.896981	-1.147878	1.878107	3.638325	-0.002289	2.943007	-1.139900	1.915058	3.691627
1.288000	1.624928	-0.380152	0.665050	1.796440	-0.001221	1.581140	-0.396022	0.633300	1.748687
1.296000	0.432458	0.075418	0.028666	0.439920	-0.004425	0.482490	0.096081	0.053457	0.494860
1.304000	-0.078445	0.173917	-0.177383	0.260511	-0.001068	-0.139315	0.153302	-0.190687	0.281552
1.312000	-0.009368	0.132594	0.140212	0.193206	-0.002441	0.055238	0.149488	0.137382	0.210408
1.320000	0.018987	0.145154	0.343030	0.372961	-0.001678	-0.036316	0.134229	0.358638	0.384652
1.328000	0.217353	0.280252	-0.053296	0.358642	-0.002441	0.253605	0.283004	-0.068615	0.386154
1.336000	0.307909	0.407328	-0.077019	0.516388	0.004578	0.291753	0.412706	-0.068615	0.510052
1.344000	0.171822	0.397199	0.497919	0.659707	-0.001526	0.177310	0.386002	0.488340	0.647234
1.352000	0.299707	0.317968	0.508341	0.670327	-0.001984	0.291753	0.332596	0.526487	0.687698
1.360000	0.357557	0.282839	0.148108	0.479354	-0.001984	0.375677	0.267745	0.129753	0.479225
1.368000	0.194383	0.291321	0.205005	0.405807	-0.001831	0.165866	0.302078	0.206048	0.401520
1.376000	0.076157	0.143843	0.026484	0.164900	-0.001221	0.112459	0.141858	0.053457	0.188755
