Time Fxf Fyf Fzf Ftf	
2.488000 -0.201756 0.006837 0.233139 0.308393
2.496000 -0.138362 0.062306 0.306778 0.342255
2.504000 -0.045320 0.105464 0.191234 0.223040
2.512000 -0.024683 0.114162 0.089524 0.147162
2.520000 -0.087122 0.091991 0.041735 0.133396
2.528000 -0.127987 0.090915 0.044626 0.163211
2.536000 -0.053852 0.136787 0.128765 0.195425
2.544000 0.068135 0.202898 0.241510 0.322703
2.552000 0.146341 0.239457 0.270754 0.389953
2.560000 0.240190 0.226748 0.236198 0.406073
2.568000 0.391390 0.244068 0.190216 0.498936
2.576000 0.467743 0.325829 0.185743 0.599541
2.584000 0.352414 0.345448 0.202303 0.533344
2.592000 0.166111 0.230904 0.102403 0.302318
2.600000 0.106088 0.097684 0.041737 0.150129
2.608000 0.085188 0.043976 0.150442 0.178392
2.616000 0.046649 0.030746 0.309396 0.314400
2.624000 0.096932 0.032135 0.301272 0.318109
2.632000 0.168524 0.032006 0.110697 0.204153
2.640000 0.115188 -0.032971 0.039327 0.126103
2.648000 -0.090561 -0.166725 0.121675 0.225396
2.656000 -0.352027 -0.317310 0.071463 0.479286
2.664000 -0.496087 -0.422369 -0.011976 0.651645
2.672000 -0.494714 -0.427373 0.064418 0.656916
2.680000 -0.453515 -0.398946 0.125782 0.616972
2.688000 -0.366584 -0.402114 0.182285 0.573853
2.696000 -0.259034 -0.387111 0.152303 0.490051
2.704000 -0.196954 -0.332233 -0.066159 0.391850
2.712000 -0.147864 -0.221375 -0.148922 0.305038
2.720000 -0.068069 -0.047382 -0.000547 0.082938
2.728000 0.032660 0.113874 0.129238 0.175319
2.736000 0.172718 0.205658 0.243031 0.362202
2.744000 0.347913 0.264753 0.320620 0.542157
2.752000 0.460466 0.319764 0.224283 0.603805
2.760000 0.421954 0.331612 0.101873 0.546251
2.768000 0.250705 0.342538 0.061530 0.428918
2.776000 0.107906 0.366053 0.153600 0.411377
2.784000 0.090442 0.303007 0.334809 0.460532
2.792000 0.100088 0.209534 0.368127 0.435246
2.800000 0.080912 0.174262 0.221991 0.293588
2.808000 0.029749 0.167987 0.097133 0.196315
2.816000 -0.042974 0.143856 0.025557 0.152297
2.824000 -0.085466 0.063209 -0.083246 0.135017
2.832000 -0.143854 -0.031324 -0.053889 0.156778
2.840000 -0.195113 -0.113739 0.196143 0.299128
2.848000 -0.202120 -0.166747 0.316106 0.410585
2.856000 -0.204833 -0.148303 0.181102 0.311044
2.864000 -0.168968 -0.137311 0.100772 0.239916
2.872000 -0.135870 -0.177508 0.127583 0.257385
2.880000 -0.173576 -0.213966 0.146254 0.311931
2.888000 -0.268380 -0.223829 0.203575 0.404438
2.896000 -0.373060 -0.187564 0.243324 0.483281
2.904000 -0.361931 -0.074743 0.196669 0.418640
